Name,Price,measuremet
Smoked Chicken (Full),N300.,One kilo
Smoked Chicken (Full),N400.,One kilo
Smoked Chicken (Full),N400.,One kilo
Smoked Chicken (Full),N500.,One kilo
Smoked Chicken (Full),N500.,One kilo
Smoked Chicken (Full),N1600.,One kilo
Smoked Chicken (Full),N1600.,One kilo
Smoked Chicken (Full),N1800.,One kilo
Smoked Chicken (Full),N1800.,One kilo
Smoked Chicken (Full),N2000.,One kilo
Smoked Chicken (Full),N2000.,One kilo
Smoked Chicken (Full),N2500.,One portion
Smoked Chicken (Full),N3500.,One kilo
Smoked Chicken (Full),N3700.,One unit
Smoked Chicken (Full),N4000.,One packet
Smoked Chicken (Full),N4000.,One unit
Smoked Ram Meat (1/2),N4000.,One packet
Smoked Ram Meat (1/2),N4000.,One packet
Smoked Ram Meat (1/2),N5000.,One bundle
Smoked Ram Meat (1/2),N5000.,One bundle
Smoked Ram Meat (1/2),N5500.,One bundle
Smoked Ram Meat (1/2),N5500.,One bundle
Smoked Ram Meat (1/2),N5500.,One bundle
Smoked Ram Meat (1/2),N5500.,One bundle
Smoked Ram Meat (1/2),N6000.,One bundle
Smoked Ram Meat (1/2),N6500.,One bundle
Smoked Ram Meat (1/2),N6500.,One bundle
Smoked Ram Meat (1/2),N6500.,One bundle
Smoked Ram Meat (1/2),N10000.,One portion
Smoked Ram Meat (1/2),N20000.,One portion
Smoked Ram Meat (1/2),N35000.,One unit
